customer_id,first_name,last_name,email,phone,age,salary,department,hire_date,is_active
CUST_01000,John,Smith,,,,-999,Sales,2019-10-13,False
CUST_01001,Jane,Johnson,user1@example.com,+1-555-202-1860,66.0,32049,Marketing,2020-10-25,True
CUST_01002,Bob,Williams,user2@example.com,+1-555-370-6191,75.0,61616,Engineering,2022-10-03,True
CUST_01003,Alice,Brown,user3@example.com,+1-555-800-6734,69.0,133727,HR,2019-04-15,True
CUST_01004,Charlie,Jones,user4@example.com,+1-555-221-1466,29.0,142893,Finance,2016-04-17,True
CUST_01005,Diana,Garcia,user5@example.com,+1-555-314-5426,79.0,50932,Sales,2018-09-10,True
CUST_01006,Eve,Miller,user6@example.com,+1-555-558-9322,56.0,147796,Marketing,2024-10-31,True
CUST_01007,Frank,Davis,user7@example.com,+1-555-761-1769,19.0,59855,Engineering,2025-03-01,True
CUST_01008,Grace,Rodriguez,user8@example.com,+1-555-443-7949,20.0,91434,HR,2023-12-31,True
CUST_01009,Henry,Martinez,user9@example.com,+1-555-485-6311,66.0,102694,Finance,2016-12-23,True
CUST_01010,John,Smith,user10@example.com,+1-555-376-2184,54.0,73016,Sales,2023-09-29,False
CUST_01011,Jane,Johnson,user11@example.com,+1-555-559-4385,66.0,37400,Marketing,2022-12-10,True
CUST_01012,Bob,Williams,user12@example.com,+1-555-121-7396,73.0,147858,Engineering,2022-07-16,True
CUST_01013,Alice,Brown,user13@example.com,+1-555-847-9666,34.0,72642,HR,2025-02-19,True
CUST_01014,Charlie,Jones,user14@example.com,+1-555-158-3558,76.0,45151,Finance,2019-05-12,True
CUST_01015,Diana,Garcia,,+1-555-781-3047,66.0,81407,Sales,2022-12-22,True
CUST_01016,Eve,Miller,user16@example.com,+1-555-575-3747,19.0,96690,Marketing,2017-07-06,True
CUST_01017,Frank,Davis,user17@example.com,+1-555-882-1189,19.0,34499,Engineering,2020-03-01,True
CUST_01018,Grace,Rodriguez,user18@example.com,+1-555-786-4005,45.0,36295,HR,2022-06-01,True
CUST_01019,Henry,Martinez,user19@example.com,+1-555-662-2899,71.0,89040,Finance,2016-07-19,True
CUST_01020,John,Smith,user20@example.com,,40.0,42183,Sales,2016-05-13,False
CUST_01021,Jane,Johnson,user21@example.com,+1-555-666-2267,54.0,59299,Marketing,2025-04-23,True
CUST_01022,Bob,Williams,user22@example.com,+1-555-931-2528,49.0,42874,Engineering,2020-01-02,True
CUST_01023,Alice,Brown,user23@example.com,+1-555-230-4556,50.0,146336,HR,2020-09-07,True
CUST_01024,Charlie,Jones,user24@example.com,+1-555-918-9838,18.0,62711,Finance,2020-11-04,True
CUST_01025,Diana,Garcia,user25@example.com,+1-555-120-6393,,35539,Sales,2018-07-03,True
CUST_01026,Eve,Miller,user26@example.com,+1-555-487-9792,36.0,137941,Marketing,2024-02-06,True
CUST_01027,Frank,Davis,user27@example.com,+1-555-415-9433,79.0,83351,Engineering,2021-12-21,True
CUST_01028,Grace,Rodriguez,user28@example.com,+1-555-876-8513,19.0,91267,HR,2020-06-20,True
CUST_01029,Henry,Martinez,user29@example.com,+1-555-664-8041,70.0,78354,Finance,2018-03-05,True
CUST_01030,John,Smith,,+1-555-439-7235,61.0,-999,Sales,2023-12-12,False
CUST_01031,Jane,Johnson,user31@example.com,+1-555-466-8099,43.0,32557,Marketing,2016-06-17,True
CUST_01032,Bob,Williams,user32@example.com,+1-555-554-1775,49.0,68360,Engineering,2017-09-18,True
CUST_01033,Alice,Brown,user33@example.com,+1-555-134-4152,23.0,112018,HR,2021-01-15,True
CUST_01034,Charlie,Jones,user34@example.com,+1-555-661-4943,49.0,32200,Finance,2017-06-02,True
CUST_01035,Diana,Garcia,user35@example.com,+1-555-487-4073,72.0,142476,Sales,2025-03-27,True
CUST_01036,Eve,Miller,user36@example.com,+1-555-489-4843,21.0,98497,Marketing,2018-09-17,True
CUST_01037,Frank,Davis,user37@example.com,+1-555-921-7873,72.0,76975,Engineering,2021-10-19,True
CUST_01038,Grace,Rodriguez,user38@example.com,+1-555-655-1161,28.0,51357,HR,2023-07-06,True
CUST_01039,Henry,Martinez,user39@example.com,+1-555-301-1995,73.0,149121,Finance,2016-12-18,True
CUST_01040,John,Smith,user40@example.com,,76.0,107505,Sales,2016-03-04,False
CUST_01041,Jane,Johnson,user41@example.com,+1-555-369-8629,34.0,32869,Marketing,2024-12-26,True
CUST_01042,Bob,Williams,user42@example.com,+1-555-826-2016,55.0,91135,Engineering,2016-10-07,True
CUST_01043,Alice,Brown,user43@example.com,+1-555-801-7439,41.0,80108,HR,2017-02-21,True
CUST_01044,Charlie,Jones,user44@example.com,+1-555-824-7863,22.0,142296,Finance,2021-07-20,True
CUST_01045,Diana,Garcia,,+1-555-848-9529,69.0,124179,Sales,2020-12-27,True
CUST_01046,Eve,Miller,user46@example.com,+1-555-978-5887,51.0,120272,Marketing,2017-12-22,True
CUST_01047,Frank,Davis,user47@example.com,+1-555-316-5859,23.0,68467,Engineering,2024-03-09,True
CUST_01048,Grace,Rodriguez,user48@example.com,+1-555-287-9571,39.0,53328,HR,2020-06-25,True
CUST_01049,Henry,Martinez,user49@example.com,+1-555-592-8208,28.0,149181,Finance,2020-08-13,True
CUST_01050,John,Smith,user50@example.com,+1-555-256-3062,,121412,Sales,2023-02-20,False
CUST_01051,Jane,Johnson,user51@example.com,+1-555-912-1064,65.0,116831,Marketing,2018-12-08,True
CUST_01052,Bob,Williams,user52@example.com,+1-555-956-9006,33.0,33987,Engineering,2024-03-22,True
CUST_01053,Alice,Brown,user53@example.com,+1-555-620-6463,50.0,88871,HR,2017-10-14,True
CUST_01054,Charlie,Jones,user54@example.com,+1-555-228-3027,26.0,52399,Finance,2021-06-21,True
CUST_01055,Diana,Garcia,user55@example.com,+1-555-747-6258,77.0,76214,Sales,2017-07-31,True
CUST_01056,Eve,Miller,user56@example.com,+1-555-598-7736,76.0,129522,Marketing,2025-07-24,True
CUST_01057,Frank,Davis,user57@example.com,+1-555-491-6892,23.0,116416,Engineering,2023-10-14,True
CUST_01058,Grace,Rodriguez,user58@example.com,+1-555-589-7184,33.0,100271,HR,2025-08-09,True
CUST_01059,Henry,Martinez,user59@example.com,+1-555-127-7278,46.0,74064,Finance,2019-03-05,True
CUST_01060,John,Smith,,,20.0,-999,Sales,2018-08-26,False
CUST_01061,Jane,Johnson,user61@example.com,+1-555-300-4104,37.0,100091,Marketing,2024-07-25,True
CUST_01062,Bob,Williams,user62@example.com,+1-555-147-3454,77.0,137450,Engineering,2018-04-06,True
CUST_01063,Alice,Brown,user63@example.com,+1-555-673-9996,76.0,70818,HR,2022-12-31,True
CUST_01064,Charlie,Jones,user64@example.com,+1-555-198-3731,53.0,75525,Finance,2020-06-09,True
CUST_01065,Diana,Garcia,user65@example.com,+1-555-971-9154,36.0,49830,Sales,2018-10-06,True
CUST_01066,Eve,Miller,user66@example.com,+1-555-646-6056,43.0,47429,Marketing,2022-06-19,True
CUST_01067,Frank,Davis,user67@example.com,+1-555-838-9110,20.0,36893,Engineering,2022-08-09,True
CUST_01068,Grace,Rodriguez,user68@example.com,+1-555-561-4840,36.0,146381,HR,2016-04-12,True
CUST_01069,Henry,Martinez,user69@example.com,+1-555-104-8385,37.0,109909,Finance,2023-05-18,True
CUST_01070,John,Smith,user70@example.com,+1-555-602-7910,49.0,77333,Sales,2020-08-31,False
CUST_01071,Jane,Johnson,user71@example.com,+1-555-497-7938,24.0,33436,Marketing,2018-01-23,True
CUST_01072,Bob,Williams,user72@example.com,+1-555-492-1206,69.0,104290,Engineering,2020-03-25,True
CUST_01073,Alice,Brown,user73@example.com,+1-555-114-6977,58.0,106213,HR,2023-04-28,True
CUST_01074,Charlie,Jones,user74@example.com,+1-555-653-8035,50.0,35895,Finance,2025-07-09,True
CUST_01075,Diana,Garcia,,+1-555-560-8858,,49738,Sales,2024-02-01,True
